id,tuw,surface,route,section,label,selector,action_type,expected_user_outcome,source_file,handler,trace_depth,api_route,domain_runtime,permission_boundary,audit_boundary,persistence_boundary,status,remediation_lane,evidence,notes
LCX8-ACTION-0001,P1-T01,auth,/?locale=ko&view=auth&authStep=login,login-heading,Sign up now,section[data-login-screen='parnas-split'] button:has-text('Sign up now'),button,Switches the auth surface from login to signup.,apps/web/src/components/AuthSurface.jsx,onClick -> setAuthStep('signup'),ui_state_only,,,none,not required for local auth-step navigation,not required,UI_ONLY,,DOM observed on http://127.0.0.1:5174/?locale=ko&view=auth&authStep=login | Source trace: AuthSurface.jsx setAuthStep('signup') | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=ui_state_only; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json,Local auth step switch only. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof.
LCX8-ACTION-0002,P1-T01,auth,/?locale=ko&view=auth&authStep=login,login-form,Email,[data-login-email],input,Captures email text for the local login submit handler.,apps/web/src/components/AuthSurface.jsx,onChange -> setLoginEmail(event.target.value),ui_state_only,,,none,not required for local input,local component state only,UI_ONLY,,DOM observed [data-login-email] | Source trace: AuthForm loginEmail state | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=ui_state_only; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json,Input is consumed only by the local web login submit handler. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof.
LCX8-ACTION-0003,P1-T01,auth,/?locale=ko&view=auth&authStep=login,login-form,Password,[data-login-password],input,Captures password text for the local login submit handler.,apps/web/src/components/AuthSurface.jsx,onChange -> setLoginPassword(event.target.value),ui_state_only,,,none,not required for local input,local component state only,UI_ONLY,,DOM observed [data-login-password] | Source trace: AuthForm loginPassword state | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=ui_state_only; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json,Input is consumed only by the local web login submit handler. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof.
LCX8-ACTION-0004,P1-T01,auth,/?locale=ko&view=auth&authStep=login,login-form,Remember me,.matter-login-row input[type='checkbox'],checkbox,Persists or applies a remembered login preference.,apps/web/src/components/AuthSurface.jsx,uncontrolled input; not read by submit handler,ui_state_only,,,none,not required,missing,FAIL,Lane A,"DOM observed checkbox beside Remember me | Source trace: checkbox has no state binding and submit ignores it | P2-T08 missing/no-op classification: source and prior DOM evidence reviewed; row remains FAIL/BLOCKED/GUARDED/UI_ONLY as classified, with no operational PASS inferred. | P4-T06 error taxonomy: taxonomy=FAIL_NO_EFFECT_OR_UNCONSUMED_CONTROL; status=FAIL; trace_depth=ui_state_only; reason_stable=true; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-error-taxonomy-p4-t06.json | P8 final remediation lane assignment: lane=Lane A; reason=ui_not_wired_or_missing_handler; tuw=P8-T02; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-final-lane-assignment-p8-t02-t06.json | P8-T07 blocker risk ranking: tier=medium; score=64; reason=Visible UI action is not wired or has no effect.; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-blocker-risk-ranking-p8-t07.json | P8-T08 remediation-ready issue text: rank=126; tier=medium; title=Wire, remove, or relabel Remember me; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-remediation-ready-issues-p8-t08.json","Visible preference control is not operational. P4-T06 stabilizes the expected blocked/failure/guarded reason for remediation ranking. P8 assigns remediation lane Lane A (ui_not_wired_or_missing_handler). P8-T07 ranks this remediation as medium risk (score 64). P8-T08 issue text ready: Wire, remove, or relabel Remember me."
LCX8-ACTION-0005,P1-T01,auth,/?locale=ko&view=auth&authStep=login,login-form,Forgot password?,.matter-login-forgot,button,Starts a password reset flow.,apps/web/src/components/AuthSurface.jsx,none,ui_state_only,,,none,not required,missing,FAIL,Lane A,"DOM observed .matter-login-forgot | Source trace: button has no onClick handler | P2-T08 missing/no-op classification: source and prior DOM evidence reviewed; row remains FAIL/BLOCKED/GUARDED/UI_ONLY as classified, with no operational PASS inferred. | P4-T06 error taxonomy: taxonomy=FAIL_MISSING_HANDLER_OR_FALSE_AFFORDANCE; status=FAIL; trace_depth=ui_state_only; reason_stable=true; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-error-taxonomy-p4-t06.json | P8 final remediation lane assignment: lane=Lane A; reason=ui_not_wired_or_missing_handler; tuw=P8-T02; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-final-lane-assignment-p8-t02-t06.json | P8-T07 blocker risk ranking: tier=medium; score=64; reason=Visible UI action is not wired or has no effect.; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-blocker-risk-ranking-p8-t07.json | P8-T08 remediation-ready issue text: rank=127; tier=medium; title=Wire, remove, or relabel Forgot password?; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-remediation-ready-issues-p8-t08.json","Visible reset action is currently a no-op in web login. P4-T06 stabilizes the expected blocked/failure/guarded reason for remediation ranking. P8 assigns remediation lane Lane A (ui_not_wired_or_missing_handler). P8-T07 ranks this remediation as medium risk (score 64). P8-T08 issue text ready: Wire, remove, or relabel Forgot password?."
LCX8-ACTION-0006,P1-T01,auth,/?locale=ko&view=auth&authStep=login,login-form,Log in,.matter-login-submit,submit,Submits email/password and opens the product workspace.,apps/web/src/components/AuthSurface.jsx; apps/web/src/App.jsx,"AuthForm.onSubmit -> onLogin({ email, password }) -> App.navigateToView('home')",route_navigation,,web local route only; desktop runtime login is separate,non-empty email and password only,not written by web login surface,not durable,UI_ONLY,,"DOM observed .matter-login-submit | Source trace: App onLogin navigates to home without API call | P2-T00 App.jsx source trace: navigateToView validates routable view, sets view/activeSection, closes notifications, and pushState writes routeUrl(view, section). | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=route_navigation; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json","This proves local web handoff only, not authenticated runtime login. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof."
LCX8-ACTION-0007,P1-T02,home,/?locale=ko&view=home&desktop=1&data=live&ctx=allow,product-axis-nav,Home,[data-product-axis='home'],button,Navigates to Home product axis.,apps/web/src/components/Shell.jsx; apps/web/src/App.jsx,ProductAxisNav.onClick -> setView('home') -> navigateToView,route_navigation,,,none,not required for navigation,history state only,UI_ONLY,,"DOM observed [data-product-axis='home'] | Source trace: ProductAxisNav | P2-T00 App.jsx source trace: navigateToView validates routable view, sets view/activeSection, closes notifications, and pushState writes routeUrl(view, section). | P2-T01 Shell.jsx source trace: ProductAxisNav, Topbar, NotificationDrawer, Sidebar, sidebarMeta utilities, and GlobalSearch handlers are mapped to route navigation, local state, or missing-handler outcomes. | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=route_navigation; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json",Navigation only. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof.
LCX8-ACTION-0008,P1-T02,home,/?locale=ko&view=home&desktop=1&data=live&ctx=allow,product-axis-nav,Client,[data-product-axis='clients'],button,Navigates to Client product axis.,apps/web/src/components/Shell.jsx; apps/web/src/App.jsx,ProductAxisNav.onClick -> setView('clients') -> navigateToView,route_navigation,,,none,not required for navigation,history state only,UI_ONLY,Lane E,"DOM observed [data-product-axis='clients'] | Source trace: ProductAxisNav | P2-T00 App.jsx source trace: navigateToView validates routable view, sets view/activeSection, closes notifications, and pushState writes routeUrl(view, section). | P2-T01 Shell.jsx source trace: ProductAxisNav, Topbar, NotificationDrawer, Sidebar, sidebarMeta utilities, and GlobalSearch handlers are mapped to route navigation, local state, or missing-handler outcomes. | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=route_navigation; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json | P7-T03 Korean copy review: finding=P7-COPY-001; product-axis/domain term policy drift; status_remains=UI_ONLY; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-korean-copy-review-p7-t03.json | P7-T06 copy/UX/a11y backlog link: findings=P7-COPY-001; primary_lanes=Lane E; status_remains=UI_ONLY; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-copy-ux-a11y-backlog-p7-t06.json | P8 final remediation lane assignment: lane=Lane E; reason=p7_copy_ux_a11y_backlog; tuw=P8-T06; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-final-lane-assignment-p8-t02-t06.json | P8-T07 blocker risk ranking: tier=low; score=35; reason=Visual, focus, mobile overflow, or copy backlog item.; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-blocker-risk-ranking-p8-t07.json | P8-T08 remediation-ready issue text: rank=170; tier=low; title=Resolve UX/copy/a11y issue for Client; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-remediation-ready-issues-p8-t08.json",Navigation only; Client API operation is audited on the destination surface. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof. P7-T03 records a Lane E copy policy decision: Client remains English in Korean locale; no operational status change. P7-T06 links this row to remediation backlog findings P7-COPY-001 without status change. P8 assigns remediation lane Lane E (p7_copy_ux_a11y_backlog). P8-T07 ranks this remediation as low risk (score 35). P8-T08 issue text ready: Resolve UX/copy/a11y issue for Client.
LCX8-ACTION-0009,P1-T02,home,/?locale=ko&view=home&desktop=1&data=live&ctx=allow,product-axis-nav,Matter,[data-product-axis='matters'],button,Navigates to Matter product axis.,apps/web/src/components/Shell.jsx; apps/web/src/App.jsx,ProductAxisNav.onClick -> setView('matters') -> navigateToView,route_navigation,,,none,not required for navigation,history state only,UI_ONLY,Lane E,"DOM observed [data-product-axis='matters'] | Source trace: ProductAxisNav | P2-T00 App.jsx source trace: navigateToView validates routable view, sets view/activeSection, closes notifications, and pushState writes routeUrl(view, section). | P2-T01 Shell.jsx source trace: ProductAxisNav, Topbar, NotificationDrawer, Sidebar, sidebarMeta utilities, and GlobalSearch handlers are mapped to route navigation, local state, or missing-handler outcomes. | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=route_navigation; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json | P7-T03 Korean copy review: finding=P7-COPY-001; product-axis/domain term policy drift; status_remains=UI_ONLY; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-korean-copy-review-p7-t03.json | P7-T06 copy/UX/a11y backlog link: findings=P7-COPY-001; primary_lanes=Lane E; status_remains=UI_ONLY; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-copy-ux-a11y-backlog-p7-t06.json | P8 final remediation lane assignment: lane=Lane E; reason=p7_copy_ux_a11y_backlog; tuw=P8-T06; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-final-lane-assignment-p8-t02-t06.json | P8-T07 blocker risk ranking: tier=low; score=35; reason=Visual, focus, mobile overflow, or copy backlog item.; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-blocker-risk-ranking-p8-t07.json | P8-T08 remediation-ready issue text: rank=171; tier=low; title=Resolve UX/copy/a11y issue for Matter; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-remediation-ready-issues-p8-t08.json",Navigation only; Matter API operation is audited on the destination surface. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof. P7-T03 records a Lane E copy policy decision: Matter remains English in Korean locale; no operational status change. P7-T06 links this row to remediation backlog findings P7-COPY-001 without status change. P8 assigns remediation lane Lane E (p7_copy_ux_a11y_backlog). P8-T07 ranks this remediation as low risk (score 35). P8-T08 issue text ready: Resolve UX/copy/a11y issue for Matter.
LCX8-ACTION-0010,P1-T02,home,/?locale=ko&view=home&desktop=1&data=live&ctx=allow,product-axis-nav,People,[data-product-axis='people'],button,Navigates to People product axis.,apps/web/src/components/Shell.jsx; apps/web/src/App.jsx,ProductAxisNav.onClick -> setView('people') -> navigateToView,route_navigation,,,none,not required for navigation,history state only,UI_ONLY,Lane E,"DOM observed [data-product-axis='people'] | Source trace: ProductAxisNav | P2-T00 App.jsx source trace: navigateToView validates routable view, sets view/activeSection, closes notifications, and pushState writes routeUrl(view, section). | P2-T01 Shell.jsx source trace: ProductAxisNav, Topbar, NotificationDrawer, Sidebar, sidebarMeta utilities, and GlobalSearch handlers are mapped to route navigation, local state, or missing-handler outcomes. | P5-T06 ephemeral/local-only classification: persistence_required=false; trace_depth=route_navigation; status_remains=UI_ONLY; api_route=none; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-ephemeral-local-only-classification-p5-t06.json | P7-T03 Korean copy review: finding=P7-COPY-001; product-axis/domain term policy drift; status_remains=UI_ONLY; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-korean-copy-review-p7-t03.json | P7-T06 copy/UX/a11y backlog link: findings=P7-COPY-001; primary_lanes=Lane E; status_remains=UI_ONLY; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-copy-ux-a11y-backlog-p7-t06.json | P8 final remediation lane assignment: lane=Lane E; reason=p7_copy_ux_a11y_backlog; tuw=P8-T06; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-final-lane-assignment-p8-t02-t06.json | P8-T07 blocker risk ranking: tier=low; score=35; reason=Visual, focus, mobile overflow, or copy backlog item.; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-blocker-risk-ranking-p8-t07.json | P8-T08 remediation-ready issue text: rank=172; tier=low; title=Resolve UX/copy/a11y issue for People; artifact=docs/lazycodex/evidence/matter-web/artifacts/lcx8-remediation-ready-issues-p8-t08.json",Navigation only; HRX operation is audited on the destination surface. P5-T06 confirms this row is ephemeral/local-only and does not require durable persistence proof. P7-T03 records a Lane E copy policy decision: People/구성원/직원 naming is inconsistent across source labels and rendered text; no operational status change. P7-T06 links this row to remediation backlog findings P7-COPY-001 without status change. P8 assigns remediation lane Lane E (p7_copy_ux_a11y_backlog). P8-T07 ranks this remediation as low risk (score 35). P8-T08 issue text ready: Resolve UX/copy/a11y issue for People.
